RodID;SectionID;Timesteps;AverageBurnup;AveragePower;AveragePowerRate;HoldTime;IntegratedPower;AverageRodPressure;FGR;GapWidth_mid;GapWidth_end;InterfaceP_mid;InterfaceP_end;CladInnerTemp_mid;CladInnerTemp_end;CladRadDisp_mid;CladRadDisp_end;CladInnerStress_r_mid;CladInnerStress_r_end;CladInnerStrain_r_mid;CladInnerStrain_r_end;CladInnerCreep_r_mid;CladInnerCreep_r_end;RidgeHeight
6;B;13933279.473039012;4120.2172096;264001307.06;-1.2476032999583782;13933219.473039012;3657085403874674.5;5169142.715;0.008924197073;3.698015794e-05;3.408562174e-05;0.0;0.0;597.6285572;602.0015483;-5.071341397e-06;-5.108341395e-06;-5168371.018;-5168480.958;0.003772546524;0.003850778509;0.001844858439;0.001911292934;0.0
6;B;14046045.533931728;4153.737189;263860619.76;-1.2476032140012385;14045985.533931728;3686847858966040.0;5169382.666;0.009083063279;3.686224416e-05;3.396966924e-05;0.0;0.0;597.6112819;601.9708761;-5.12612428e-06;-5.163125858e-06;-5168610.685;-5168719.144;0.003777475462;0.003855501846;0.001853562308;0.001919878595;0.0
6;B;14159052.347132783;4187.3107837;263719632.09;-1.2476032728146231;14158992.347132783;3716657940450729.0;5169623.587;0.009241872514;3.674470313e-05;3.385408564e-05;0.0;0.0;597.593952;601.9401669;-5.180933404e-06;-5.217935644e-06;-5168852.839;-5168957.193;0.003782402675;0.003860222834;0.001862265419;0.001928462152;0.0
6;B;14272296.585948257;4220.9368916;263578348.21;-1.2476032465564206;14272236.585948257;3746514669654734.0;5169865.477;0.009400620299;3.662753268e-05;3.373887451e-05;0.0;0.0;597.5765693;601.9094216;-5.235768254e-06;-5.272770728e-06;-5169187.215;-5168967.495;0.003787328632;0.003864942675;0.001870967799;0.001937043652;0.0
6;B;14385775.019768806;4254.6144412;263436772.15;-1.2476032249782856;14385715.019768806;3776417094883834.5;5170108.335;0.009559364958;3.651073048e-05;3.362401108e-05;0.0;0.0;597.5591301;601.8786403;-5.290627612e-06;-5.32762963e-06;-5169421.491;-5169266.303;0.003792252293;0.003869658164;0.001879669435;0.0019456232;0.0
6;B;14499484.33917814;4288.3423391;263294908.03;-1.2476032812167257;14499424.33917814;3806364245316135.5;5170352.162;0.009718057812;3.639429054e-05;3.350951314e-05;0.0;0.0;597.5416402;601.8478278;-5.345512433e-06;-5.382512052e-06;-5169751.275;-5169592.811;0.003797175128;0.003874372396;0.001888370354;0.001954200784;0.0
6;B;14613421.280888272;4322.1195077;263152759.93;-1.2476032607723746;14613361.280888272;3836355163945032.5;5170596.957;0.009876749068;3.627821337e-05;3.339537685e-05;0.0;0.0;597.5240973;601.8169908;-5.400420397e-06;-5.43741845e-06;-5169723.469;-5169715.078;0.003802096325;0.003879085352;0.001897070534;0.001962776491;0.0
6;B;14727582.771311808;4355.9449273;263010331.69;-1.2476031932624982;14727522.771311808;3866388945317630.0;5170842.717;0.01003544882;3.616249185e-05;3.328158715e-05;0.0;0.0;597.506502;601.7860956;-5.455352886e-06;-5.492346869e-06;-5170062.453;-5170170.569;0.003807016379;0.003883795513;0.001905770033;0.001971350341;0.0
6;B;14841965.53796886;4389.8175213;262867627.37;-1.247603324964656;14841905.53796886;3896464633258253.0;5171089.453;0.01019414417;3.604712712e-05;3.316814815e-05;0.0;0.0;597.4888559;601.755179;-5.510307929e-06;-5.54729794e-06;-5170313.987;-5170413.911;0.00381193522;0.003888504335;0.001914468841;0.001979922394;0.0
6;B;14956566.535009315;4423.7362818;262724650.8;-1.2476031944950672;14956506.535009315;3926581332815776.5;5171337.396;0.01035285787;3.593211488e-05;3.305505811e-05;0.0;0.0;597.4711588;601.7242309;-5.565285173e-06;-5.602270823e-06;-5170564.084;-5170663.577;0.003816852763;0.003893211424;0.001923166967;0.001988492706;0.0
